Ürün Tipi,Üretim Miktarı,Enerji Tüketimi,Hammadde Kaynağı
Çelik,1500.5,25000.0,Yerli
Çimento,3200.0,18000.0,İthal
Alüminyum,800.25,35000.0,Geri Dönüştürülmüş
Elektrik,5000.0,12000.0,Fosil Bazlı
Diğer,2200.75,15000.0,Yerli
Çelik,1800.0,28000.0,İthal
Çimento,4100.5,22000.0,Geri Dönüştürülmüş
Alüminyum,950.0,40000.0,Fosil Bazlı
Elektrik,6200.0,14000.0,Yerli
Diğer,3100.0,17000.0,İthal
Çelik,2100.25,32000.0,Geri Dönüştürülmüş
Çimento,2800.0,19000.0,Fosil Bazlı
Alüminyum,1100.5,38000.0,Yerli
Elektrik,4800.0,13000.0,İthal
Diğer,2700.0,16000.0,Geri Dönüştürülmüş
Çelik,1950.75,29000.0,Fosil Bazlı
Çimento,3600.0,21000.0,Yerli
Alüminyum,875.0,37000.0,İthal
Elektrik,5500.0,12500.0,Geri Dönüştürülmüş
Diğer,2400.5,15500.0,Fosil Bazlı
Çelik,2250.0,31000.0,Yerli
Çimento,3900.25,23000.0,İthal
Alüminyum,1025.0,39500.0,Geri Dönüştürülmüş
Elektrik,5900.0,13500.0,Fosil Bazlı
Diğer,2850.0,16500.0,Yerli
Çelik,1700.5,26500.0,İthal
Çimento,3400.0,20000.0,Geri Dönüştürülmüş
Alüminyum,925.75,36000.0,Fosil Bazlı
Elektrik,5100.0,11800.0,Yerli
Diğer,2600.0,14800.0,İthal
Çelik,2050.0,30000.0,Geri Dönüştürülmüş
Çimento,3750.5,21500.0,Fosil Bazlı
Alüminyum,975.0,38500.0,Yerli
Elektrik,5700.0,12800.0,İthal
Diğer,2950.25,16200.0,Geri Dönüştürülmüş
Çelik,1850.75,27500.0,Fosil Bazlı
Çimento,3300.0,19500.0,Yerli
Alüminyum,850.0,34500.0,İthal
Elektrik,5300.0,12200.0,Geri Dönüştürülmüş
Diğer,2500.0,15200.0,Fosil Bazlı
Çelik,2200.0,31500.0,Yerli
Çimento,4050.0,22500.0,İthal
Alüminyum,1050.5,39000.0,Geri Dönüştürülmüş
Elektrik,6000.0,13200.0,Fosil Bazlı
Diğer,2750.75,15800.0,Yerli
Çelik,1900.0,28500.0,İthal
Çimento,3500.25,20500.0,Geri Dönüştürülmüş
Alüminyum,900.0,35500.0,Fosil Bazlı
Elektrik,5400.0,12600.0,Yerli
Diğer,2800.0,16800.0,İthal
Çelik,2150.5,30500.0,Geri Dönüştürülmüş
Çimento,3850.0,21800.0,Fosil Bazlı
Alüminyum,1000.0,37500.0,Yerli
Elektrik,5800.0,13000.0,İthal
Diğer,2650.0,16000.0,Geri Dönüştürülmüş
Çelik,1750.75,27000.0,Fosil Bazlı
Çimento,3250.0,18800.0,Yerli
Alüminyum,825.0,34000.0,İthal
Elektrik,5200.0,12000.0,Geri Dönüştürülmüş
Diğer,2450.5,15000.0,Fosil Bazlı
